millis,stamp,datetime,temp
301999, 1497825503, 2017/6/18 22:38:23, 18.20
302999, 1497825504, 2017/6/18 22:38:24, 18.20
303998, 1497825505, 2017/6/18 22:38:25, 18.20
304999, 1497825506, 2017/6/18 22:38:26, 18.20
305999, 1497825507, 2017/6/18 22:38:27, 18.20
306999, 1497825508, 2017/6/18 22:38:28, 18.20
308000, 1497825509, 2017/6/18 22:38:29, 18.20
309000, 1497825510, 2017/6/18 22:38:30, 18.20
309999, 1497825511, 2017/6/18 22:38:31, 18.20
311000, 1497825512, 2017/6/18 22:38:32, 18.20
311999, 1497825513, 2017/6/18 22:38:33, 18.20
312998, 1497825514, 2017/6/18 22:38:34, 18.20
313999, 1497825515, 2017/6/18 22:38:35, 18.20
314999, 1497825516, 2017/6/18 22:38:36, 18.20
316000, 1497825517, 2017/6/18 22:38:37, 18.20
316999, 1497825518, 2017/6/18 22:38:38, 18.20
318000, 1497825519, 2017/6/18 22:38:39, 18.20
318998, 1497825520, 2017/6/18 22:38:40, 18.20
320000, 1497825521, 2017/6/18 22:38:41, 18.20
320999, 1497825522, 2017/6/18 22:38:42, 18.20
321998, 1497825523, 2017/6/18 22:38:43, 18.20
322998, 1497825524, 2017/6/18 22:38:44, 18.20
323999, 1497825525, 2017/6/18 22:38:45, 18.20
325000, 1497825526, 2017/6/18 22:38:46, 18.20
325999, 1497825527, 2017/6/18 22:38:47, 18.20
326999, 1497825528, 2017/6/18 22:38:48, 18.20
327998, 1497825529, 2017/6/18 22:38:49, 18.30
328999, 1497825530, 2017/6/18 22:38:50, 18.30
330000, 1497825531, 2017/6/18 22:38:51, 18.20
330998, 1497825532, 2017/6/18 22:38:52, 18.20
331999, 1497825533, 2017/6/18 22:38:53, 18.20
332998, 1497825534, 2017/6/18 22:38:54, 18.20
333999, 1497825535, 2017/6/18 22:38:55, 18.20
335000, 1497825536, 2017/6/18 22:38:56, 18.30
335998, 1497825537, 2017/6/18 22:38:57, 18.30
336999, 1497825538, 2017/6/18 22:38:58, 18.30
337999, 1497825539, 2017/6/18 22:38:59, 18.30
338999, 1497825540, 2017/6/18 22:39:0, 18.30
339999, 1497825541, 2017/6/18 22:39:1, 18.30
340999, 1497825542, 2017/6/18 22:39:2, 18.30
341998, 1497825543, 2017/6/18 22:39:3, 18.30
342999, 1497825544, 2017/6/18 22:39:4, 18.30
344000, 1497825545, 2017/6/18 22:39:5, 18.30
344999, 1497825546, 2017/6/18 22:39:6, 18.30
345999, 1497825547, 2017/6/18 22:39:7, 18.30
346999, 1497825548, 2017/6/18 22:39:8, 18.30
347999, 1497825549, 2017/6/18 22:39:9, 18.30
348998, 1497825550, 2017/6/18 22:39:10, 18.30
349999, 1497825551, 2017/6/18 22:39:11, 18.30
350999, 1497825552, 2017/6/18 22:39:12, 18.30
352000, 1497825553, 2017/6/18 22:39:13, 18.30
353000, 1497825554, 2017/6/18 22:39:14, 18.30
353999, 1497825555, 2017/6/18 22:39:15, 18.30
355000, 1497825556, 2017/6/18 22:39:16, 18.30
355999, 1497825557, 2017/6/18 22:39:17, 18.30
356999, 1497825558, 2017/6/18 22:39:18, 18.30
357998, 1497825559, 2017/6/18 22:39:19, 18.30
358999, 1497825560, 2017/6/18 22:39:20, 18.30
360000, 1497825561, 2017/6/18 22:39:21, 18.30
360998, 1497825562, 2017/6/18 22:39:22, 18.30
362000, 1497825563, 2017/6/18 22:39:23, 18.30
362999, 1497825564, 2017/6/18 22:39:24, 18.30
363999, 1497825565, 2017/6/18 22:39:25, 18.30
364999, 1497825566, 2017/6/18 22:39:26, 18.30
365999, 1497825567, 2017/6/18 22:39:27, 18.30
366999, 1497825568, 2017/6/18 22:39:28, 18.30
367998, 1497825569, 2017/6/18 22:39:29, 18.30
368999, 1497825570, 2017/6/18 22:39:30, 18.30
369998, 1497825571, 2017/6/18 22:39:31, 18.30
370999, 1497825572, 2017/6/18 22:39:32, 18.30
371999, 1497825573, 2017/6/18 22:39:33, 18.30
372999, 1497825574, 2017/6/18 22:39:34, 18.30
373999, 1497825575, 2017/6/18 22:39:35, 18.30
375000, 1497825576, 2017/6/18 22:39:36, 18.30
375999, 1497825577, 2017/6/18 22:39:37, 18.30
